evid,prefor,prefmag,etype,timestamp,lat,lon,depth,magnitude,magtype,nsta,nobs,uncertainty
10835733,1156248,899953,uk,1969-10-02 04:17:43-07,48.7998333,-121.6998333,18,2.5,d,0,0,
10857743,1183783,926373,eq,1973-11-11 11:01:59.98-08,48.6563333,-121.682,-1.214,1.8,d,4,4,0.12
10845458,1166308,909738,eq,1977-12-28 13:13:06.71-08,48.6928333,-121.8336667,-0.312,1.1,d,3,3,0.06
10849148,1169998,913398,eq,1979-03-10 21:35:26.4-08,48.7685,-121.7995,-0.828,1.5,d,5,5,0.11
10849673,1170523,913918,eq,1979-05-03 15:56:04.54-07,48.7838333,-121.784,-0.066,2.2,d,10,10,0.09
10850003,1170853,914243,eq,1979-06-18 14:16:00.56-07,48.7588333,-121.6743333,-0.298,2.3,d,8,8,0.09
10850658,1171508,914883,eq,1979-09-10 13:20:26.33-07,48.7608333,-121.8175,-0.42,1.7,d,5,5,0.08
10851178,1172028,915403,eq,1979-11-16 06:32:09.64-08,48.716,-121.655,3.094,1.4,d,3,3,0.08
10079893,356693,328958,eq,1980-06-17 05:24:45-07,48.9003333,-121.882,1.316,1.5,d,1,1,0.12
10088728,365533,335298,eq,1980-09-26 02:26:15.18-07,48.735,-121.7695,22.859,1.5,d,1,1,0.03
10088548,365353,335163,eq,1980-10-03 08:04:46.83-07,48.6378333,-121.6063333,14.168,1.3,d,3,3,0.11
10091478,368283,336978,eq,1980-10-16 13:57:29.29-07,48.9223333,-121.8855,-0.67,2.4,d,8,8,0.06
10095628,372433,339648,eq,1980-12-27 12:09:10.74-08,48.6678333,-121.5428333,9.204,0.6,d,2,2,0.13
10096928,1248918,993018,eq,1981-01-29 14:25:12.74-08,48.6823333,-121.7106667,16.924,0.63,d,3,3,0.066
10112323,389128,351363,eq,1981-02-24 11:10:44.32-08,48.7246667,-122.0361667,-0.836,1.5,d,0,0,0.12
10098183,374988,341493,px,1981-03-02 13:16:50.21-08,48.6103333,-121.7618333,13.984,0.9,d,2,2,0.11
10099248,376053,342298,eq,1981-03-04 12:53:13.15-08,48.6538333,-121.7248333,-0.794,2,d,1,1,0.07
10107608,384413,348373,eq,1981-03-24 06:14:42.31-08,48.7463333,-122.0271667,1.894,1.4,d,1,1,0.13
10102378,379183,344753,eq,1981-04-10 21:12:07.49-08,48.6316667,-121.947,-0.836,1.4,d,1,1,0.01
10106588,383393,347628,eq,1981-05-28 08:13:15.83-07,48.6345,-121.9448333,-0.774,1.5,d,1,1,0.07
10106613,383418,347648,eq,1981-05-28 09:07:20.77-07,48.639,-121.8981667,-0.804,1.8,d,2,2,0.08
10110263,387068,350103,eq,1981-06-11 23:20:58.85-07,48.6531667,-121.9331667,-0.784,1.8,d,1,1,0.09
