evid,etype,uw_evid
10835408,uk,uw10835408
10835518,uk,uw10835518
10835728,uk,uw10835728
10835733,uk,uw10835733
10835913,uk,uw10835913
10852948,eq,uw10852948
10853018,eq,uw10853018
10853073,eq,uw10853073
10853163,eq,uw10853163
10853168,eq,uw10853168
10854393,eq,uw10854393
10854468,eq,uw10854468
10854683,eq,uw10854683
10854903,eq,uw10854903
10854908,eq,uw10854908
10855023,eq,uw10855023
10855128,eq,uw10855128
10855243,eq,uw10855243
10855248,eq,uw10855248
10855893,eq,uw10855893
10840178,eq,uw10840178
10856308,eq,uw10856308
10856378,eq,uw10856378
10856638,eq,uw10856638
10840218,eq,uw10840218
10856908,eq,uw10856908
10857013,eq,uw10857013
10857028,eq,uw10857028
10857138,eq,uw10857138
10857708,eq,uw10857708
10857743,eq,uw10857743
10857783,eq,uw10857783
10858288,eq,uw10858288
10840313,eq,uw10840313
10858483,eq,uw10858483
10858603,eq,uw10858603
10858608,eq,uw10858608
10858613,eq,uw10858613
10858883,eq,uw10858883
10859478,eq,uw10859478
10859488,eq,uw10859488
10859813,eq,uw10859813
10859858,eq,uw10859858
10860103,eq,uw10860103
10860158,eq,uw10860158
10860163,eq,uw10860163
10860563,eq,uw10860563
10862603,eq,uw10862603
10861213,uk,uw10861213
10861348,eq,uw10861348
10861463,eq,uw10861463
10861718,eq,uw10861718
10861783,eq,uw10861783
10862013,eq,uw10862013
10840778,eq,uw10840778
10840858,eq,uw10840858
10841038,eq,uw10841038
10841153,eq,uw10841153
10841238,eq,uw10841238
10841493,eq,uw10841493
10841508,eq,uw10841508
10841643,eq,uw10841643
10842043,eq,uw10842043
10842478,eq,uw10842478
10842748,eq,uw10842748
10843488,eq,uw10843488
10843998,eq,uw10843998
10844038,eq,uw10844038
10844108,eq,uw10844108
10844758,eq,uw10844758
10844913,eq,uw10844913
10845458,eq,uw10845458
10845523,eq,uw10845523
10845753,eq,uw10845753
10846488,eq,uw10846488
10846533,eq,uw10846533
10846643,eq,uw10846643
10846648,eq,uw10846648
10846703,eq,uw10846703
10846923,eq,uw10846923
10847488,eq,uw10847488
10847773,eq,uw10847773
10847913,eq,uw10847913
10847968,eq,uw10847968
10848013,eq,uw10848013
10848083,eq,uw10848083
10848258,eq,uw10848258
10848348,eq,uw10848348
10848653,eq,uw10848653
10848678,eq,uw10848678
10849148,eq,uw10849148
10849313,eq,uw10849313
10849498,eq,uw10849498
10849673,eq,uw10849673
10849678,eq,uw10849678
10849858,eq,uw10849858
10849888,eq,uw10849888
10850003,eq,uw10850003
10850023,eq,uw10850023
10850153,eq,uw10850153
10850283,eq,uw10850283
10850443,eq,uw10850443
10850448,eq,uw10850448
10850478,eq,uw10850478
10850483,eq,uw10850483
10850658,eq,uw10850658
10850868,eq,uw10850868
10850963,eq,uw10850963
10851178,eq,uw10851178
10851338,eq,uw10851338
10851343,eq,uw10851343
10851353,eq,uw10851353
10851358,eq,uw10851358
10851368,eq,uw10851368
10851373,eq,uw10851373
10851378,eq,uw10851378
10851383,eq,uw10851383
10851443,eq,uw10851443
10851528,eq,uw10851528
10075123,eq,uw10075123
10079893,eq,uw10079893
10080208,eq,uw10080208
10080228,px,uw10080228
10081893,eq,uw10081893
10082228,eq,uw10082228
10086078,eq,uw10086078
10086968,eq,uw10086968
10082063,eq,uw10082063
10085848,eq,uw10085848
10087958,px,uw10087958
10088603,eq,uw10088603
10088728,eq,uw10088728
10088548,eq,uw10088548
10089128,eq,uw10089128
10091478,eq,uw10091478
10093593,eq,uw10093593
10093758,eq,uw10093758
10091088,eq,uw10091088
10091578,eq,uw10091578
10095628,eq,uw10095628
10096638,eq,uw10096638
10096673,eq,uw10096673
10096848,eq,uw10096848
10096928,eq,uw10096928
10096323,px,uw10096323
10105498,eq,uw10105498
10112323,eq,uw10112323
10098183,px,uw10098183
10099248,eq,uw10099248
10107463,px,uw10107463
10107608,eq,uw10107608
10098638,eq,uw10098638
10100963,eq,uw10100963
10102378,eq,uw10102378
10103123,eq,uw10103123
10103263,eq,uw10103263
10105108,eq,uw10105108
10105308,eq,uw10105308
10105708,eq,uw10105708
10099198,eq,uw10099198
10099698,eq,uw10099698
10104233,eq,uw10104233
10106588,eq,uw10106588
10106613,eq,uw10106613
10110263,eq,uw10110263
10110308,eq,uw10110308
