evid,orid,lat,lon,depth,datetime,etype,separation_km
10835408,1155923,48.7998333,-122.0998333,33,-17547292,uk,20.95894715032
10835728,1156243,48.5998333,-121.6998333,18,-7825820,uk,21.25916587147
10835733,1156248,48.7998333,-121.6998333,18,-7821737,uk,9.072926901119999
10852948,1178988,48.7416667,-122.1273333,-0.762,72526564.51,eq,23.0931645303
10854468,1180508,48.821,-122.1306667,11.328,88121313.76,eq,23.603044946540003
10854903,1180943,48.7011667,-122.1555,16.883,91283908.04,eq,26.18587487267
10854908,1180948,48.6973333,-122.1466667,16.943,91288731.61,eq,25.709257006399998
10855023,1181063,48.6763333,-122.166,8.503,91876434.82,eq,27.88771057077
10855243,1181283,48.8061667,-122.133,7.506,92754879.35,eq,23.470163326319998
10855248,1181288,48.8146667,-122.1236667,9.146,92755849.32,eq,22.955546557450003
10840178,1161023,48.51,-121.7658333,-0.742,107809552.67,eq,29.65572922117
10856378,1182418,48.8665,-122.0925,10.247,108747869.73,eq,22.65785065154
10857743,1183783,48.6563333,-121.682,-1.214,121892519.98,eq,16.482111764109998
10857783,1183823,48.8071667,-122.0785,3.176,122650512.13,eq,19.540359842890002
10858483,1184523,48.84,-122.1241667,13.816,135650342.74,eq,23.69517012708
10859488,1185528,48.9058333,-122.1383333,15.396,148657000.49,eq,27.7307424993
10859858,1185898,48.5326667,-121.9973333,1.74,153755383.06,eq,29.98919874071
10861348,1187388,48.6068333,-122.0096667,6.608,175159003.83,eq,23.41867185446
10861783,1187823,48.9405,-122.1343333,11.423,180140963.8,eq,29.704164911150002
10843998,1164848,48.7963333,-122.108,-0.777,236873993.5,eq,21.50709233472
10845458,1166308,48.6928333,-121.8336667,-0.312,252191586.71,eq,9.16213605238
10845753,1166603,48.6826667,-122.1775,8.124,255544673.63,eq,28.405920289130002
10846488,1167338,48.7981667,-122.1175,7.654,260915908.86,eq,22.22370389827
10846533,1167383,48.7738333,-122.1411667,-0.667,261403204.56,eq,23.812309680760002
10846923,1167773,48.804,-122.1133333,2.286,264228224.16,eq,22.00576798483
10847773,1168623,48.7405,-121.4746667,1.046,272974328.87,eq,25.46743573045
10848258,1169108,48.8125,-122.1305,19.686,278256624.38,eq,23.40399366881
10848653,1169503,48.8728333,-122.1145,11.605,284478543.54,eq,24.41633012334
10848678,1169528,48.8726667,-122.1428333,12.416,284961935.18,eq,26.28535814926
10849148,1169998,48.7685,-121.7995,-0.828,289978526.4,eq,1.4621704076000002
10849673,1170523,48.7838333,-121.784,-0.066,294620164.54,eq,2.6516011105799997
10850003,1170853,48.7588333,-121.6743333,-0.298,298588560.56,eq,10.64607926749
10850283,1171133,48.7368333,-122.1403333,-0.787,301597423.35,eq,24.12606291334
10850443,1171293,48.8093333,-122.1231667,3.304,303111772.63,eq,22.81251723273
10850448,1171298,48.809,-122.1163333,0.364,303155296.43,eq,22.31154914947
10850658,1171508,48.7608333,-121.8175,-0.42,305842826.33,eq,1.51996857198
10850963,1171813,48.5175,-121.9383333,3.28,310404139.06,eq,29.94066256987
10851178,1172028,48.716,-121.655,3.094,311610729.64,eq,13.58746622769
10075123,351923,48.7583333,-122.0663333,1.486,318130870.51,eq,18.40264320475
10079893,356693,48.9003333,-121.882,1.316,330092685,eq,14.77992900276
10082228,359028,48.9746667,-121.9966667,-0.828,332544795.13,eq,25.861547693560002
10086968,363773,48.5408333,-121.9873333,2.73,333895948.8,eq,28.84949841413
10088728,365533,48.735,-121.7695,22.859,338808375.18,eq,5.6210988048
10088548,365353,48.6378333,-121.6063333,14.168,339433486.83,eq,21.72204321711
10089128,365933,48.7243333,-122.1405,-0.838,339754532.34,eq,24.42062711481
10091478,368283,48.9223333,-121.8855,-0.67,340577849.29,eq,17.18731378204
10093593,370398,48.8035,-122.1433333,4.356,341082865.51,eq,24.18040264291
10093758,370563,48.8098333,-122.1333333,0.524,341124611.25,eq,23.55810784026
10095628,372433,48.6678333,-121.5428333,9.204,346795750.74,eq,23.4146471124
10096928,1248918,48.6823333,-121.7106667,16.924,349655112.74,eq,12.90255450851
10112323,389128,48.7246667,-122.0361667,-0.836,351889844.32,eq,17.029271276430002
