evid,etype,orid,to_timestamp,datetime,lat,lon,depth,mbs_src_km,arid,to_timestamp,datetime,iphase,quality,fm,net,sta,location,seedchan,rflag,subsource,delta,seaz,ema,timeres,in_wgt,wgt,importance
10835733,uk,1156248,1969-10-02 04:17:43-07,-7821737,48.7998333,-121.6998333,18,9.04814637274832,,,,,,,,,,,,,,,,,,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943318,1973-11-11 11:02:22.1-08,121892542.1,P,0.5,+.,UW,RMW,  ,EHZ,F,UW2AQMS,133.4,184,,0.37,1,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943298,1973-11-11 11:02:30.2-08,121892550.2,P,0.5,,UW,FMW,  ,EHZ,F,UW2AQMS,190.7,179.7,,-0.07,0,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943303,1973-11-11 11:02:53-08,121892573,S,0.8,,UW,FMW,  ,EHZ,F,UW2AQMS,190.7,179.7,,-0.9,0,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943308,1973-11-11 11:02:04.15-08,121892524.15,P,1,,UW,MBW,  ,EHZ,F,UW2AQMS,21.4,311.5,,0.21,1,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943313,1973-11-11 11:02:06.75-08,121892526.75,S,0.8,,UW,MBW,  ,EHZ,F,UW2AQMS,21.4,311.5,,-0.28,1,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943328,1973-11-11 11:02:16.81-08,121892536.81,S,0.8,,UW,JCW,  ,EHZ,F,UW2AQMS,54.4,199.6,,0.29,1,,
10857743,eq,1183783,1973-11-11 11:01:59.98-08,121892519.98,48.6563333,-121.682,-1.214,16.463183761106013,10943323,1973-11-11 11:02:09.01-08,121892529.01,P,1,-.,UW,JCW,  ,EHZ,F,UW2AQMS,54.4,199.6,,-0.26,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943633,1973-11-20 05:35:23-08,122650523,P,1,-.,UW,JCW,  ,EHZ,F,UW2AQMS,68.9,170.7,,-0.3,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943683,1973-11-20 05:35:35.34-08,122650535.34,P,1,-.,UW,GMW,  ,EHZ,F,UW2AQMS,149.6,200.8,,-0.3,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943678,1973-11-20 05:35:14.63-08,122650514.63,P,1,-.,UW,MBW,  ,EHZ,F,UW2AQMS,13.3,101.2,,0,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943673,1973-11-20 05:35:21.15-08,122650521.15,P,1,+.,UW,MCW,  ,EHZ,F,UW2AQMS,57.1,255.8,,-0.27,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943668,1973-11-20 05:35:33.5-08,122650533.5,P,0.3,+.,UW,STW,  ,EHZ,F,UW2AQMS,138.2,238.7,,-0.31,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943663,1973-11-20 05:35:35.6-08,122650535.6,P,1,+.,UW,SPW,  ,EHZ,F,UW2AQMS,140,185.2,,0.59,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943658,1973-11-20 05:35:46.2-08,122650546.2,P,0.3,,UW,LON,  ,EHZ,F,UW2AQMS,,,,-1.24,0,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943653,1973-11-20 05:35:44.61-08,122650544.61,P,0.5,+.,UW,FMW,  ,EHZ,F,UW2AQMS,209.7,171.5,,-0.11,0,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943648,1973-11-20 05:35:29.7-08,122650529.7,P,0.3,-.,UW,BLN,  ,EHZ,F,UW2AQMS,110.8,216.9,,0.19,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943643,1973-11-20 05:35:54.32-08,122650554.32,S,0.8,,UW,RMW,  ,EHZ,F,UW2AQMS,151.2,172.2,,-0.57,1,,
10857783,eq,1183823,1973-11-20 05:35:12.13-08,122650512.13,48.8071667,-122.0785,3.176,19.483455857712748,10943638,1973-11-20 05:35:36.32-08,122650536.32,P,1,-.,UW,RMW,  ,EHZ,F,UW2AQMS,151.2,172.2,,0.16,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791103,1977-12-28 13:13:13.3-08,252191593.3,P,1,,UW,MCW,  ,EHZ,F,UW2AQMS,73.3,269.2,,-5.6,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791138,1977-12-28 13:13:12.4-08,252191592.4,S,1,,UW,RPW,  ,EHZ,F,UW2AQMS,35.9,139.1,,-6.02,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791133,1977-12-28 13:13:10.3-08,252191590.3,P,1,-.,UW,RPW,  ,EHZ,F,UW2AQMS,35.9,139.1,,-2.99,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791118,1977-12-28 13:13:24.05-08,252191604.05,S,0,,UW,HTW,  ,EHZ,F,UW2AQMS,99,177.2,,-11.52,0,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791128,1977-12-28 13:13:18.4-08,252191598.4,S,1,,UW,JCW,  ,EHZ,F,UW2AQMS,55.8,187.2,,-5.08,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791113,1977-12-28 13:13:20.55-08,252191600.55,P,0.5,-.,UW,HTW,  ,EHZ,F,UW2AQMS,99,177.2,,-2.37,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791108,1977-12-28 13:13:18.3-08,252191598.3,S,1,,UW,MCW,  ,EHZ,F,UW2AQMS,73.3,269.2,,-10.11,1,,
10845458,eq,1166308,1977-12-28 13:13:06.71-08,252191586.71,48.6928333,-121.8336667,-0.312,9.160873714691071,10791123,1977-12-28 13:13:13.6-08,252191593.6,P,0.5,,UW,JCW,  ,EHZ,F,UW2AQMS,55.8,187.2,,-2.53,1,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835193,1979-03-10 21:36:22.5-08,289978582.5,S,0.8,,UW,FMW,  ,EHZ,F,UW2AQMS,203.4,177.3,,-1.11,0,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835188,1979-03-10 21:35:58.6-08,289978558.6,P,0.5,,UW,FMW,  ,EHZ,F,UW2AQMS,203.4,177.3,,0.06,0,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835183,1979-03-10 21:35:37.45-08,289978537.45,S,0.8,,UW,LYW,  ,EHZ,F,UW2AQMS,34.2,220.8,,0.12,1,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835178,1979-03-10 21:35:32.45-08,289978532.45,P,0.8,+.,UW,LYW,  ,EHZ,F,UW2AQMS,34.2,220.8,,-0.09,1,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835228,1979-03-10 21:36:15.45-08,289978575.45,S,0.8,,UW,GSM,  ,EHZ,F,UW2AQMS,174.1,179.9,,-0.17,0,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835223,1979-03-10 21:35:54.45-08,289978554.45,P,0.8,,UW,GSM,  ,EHZ,F,UW2AQMS,174.1,179.9,,0.4,0,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835218,1979-03-10 21:35:27.75-08,289978527.75,P,0.8,-.,UW,MBW,  ,EHZ,F,UW2AQMS,7.6,283,,-0.05,1,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835213,1979-03-10 21:35:45.65-08,289978545.65,S,0.8,,UW,JCW,  ,EHZ,F,UW2AQMS,64.4,188.5,,-0.08,1,,
10849148,eq,1169998,1979-03-10 21:35:26.4-08,289978526.4,48.7685,-121.7995,-0.828,1.458656107552195,10835208,1979-03-10 21:35:37.15-08,289978537.15,P,0.5,,UW,JCW,  ,EHZ,F,UW2AQMS,64.4,188.5,,-0.11,1,,
