evid,etype,remark,auth,calculated_distance_km,origin_time,lat,lon,depth,totalarr,no_defining_phases,no_S_phase,orig_quality,wrms,rflag,fixed_depth,fixed_epicenter,fixed_origin_time,origin_bogusflag,magnitude,magtype,mag_nsta,mag_nobs,mag_uncertainty,orid,sxx,syy,szz,stt,sxy,sxz,syz,stx,sty,stz,azismall,dipsmall,magsmall,aziinter,dipinter,maginter,azilarge,diplarge,maglarge,lddate,subsource,version,lddate
10096928,eq,UW2 Q1=C  Q2=D,UW,12.887541017059123,1981-01-29 14:25:12.74-08,48.6823333,-121.7106667,16.924,5,4,1,0.8,0,F,n,n,n,0,0.63,d,3,3,0.066,1248918,,,,,,,,,,,,,0.41,236,20,0.94,16,63,2.69,2012-09-03 15:52:57,UW2AQMS,6,2012-02-27 10:31:56
10096928,eq,"possible blast, coda from devel",UW,12.887541017059123,1981-01-29 14:25:12.74-08,48.6823333,-121.7106667,16.924,5,4,1,0.8,0,F,n,n,n,0,0.63,d,3,3,0.066,1248918,,,,,,,,,,,,,0.41,236,20,0.94,16,63,2.69,2012-09-03 15:52:57,UW2AQMS,6,2012-02-27 10:31:56
10218503,eq,this is just over the border? Canadian data would be nice;,UW,34.4103609754762,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,10,9,2,0.3,0.28,F,n,n,n,0,0.96,d,1,1,0,1199608,,,,,,,,,,,,,1.04,220,33,2.31,14,53,9.95,2012-06-14 15:14:42,UW2AQMS,5,2012-02-27 15:18:49
10218503,eq,UW2 Q1=B  Q2=D,UW,34.4103609754762,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,10,9,2,0.3,0.28,F,n,n,n,0,0.96,d,1,1,0,1199608,,,,,,,,,,,,,1.04,220,33,2.31,14,53,9.95,2012-06-14 15:14:42,UW2AQMS,5,2012-02-27 15:18:49
10218503,eq,rbb,UW,34.4103609754762,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,10,9,2,0.3,0.28,F,n,n,n,0,0.96,d,1,1,0,1199608,,,,,,,,,,,,,1.04,220,33,2.31,14,53,9.95,2012-06-14 15:14:42,UW2AQMS,5,2012-02-27 15:18:49
10242483,lf,Canadian data added 7/19/89  ruth,UW,5.690057193683522,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,22,22,8,0.8,0.35,F,n,n,n,0,1.05,d,3,3,0.058,1447953,,,,,,,,,,,,,0.58,254,71,1.03,58,17,1.62,2013-07-26 23:24:19,UW2AQMS,5,2012-02-27 16:10:55
10242483,lf,rbb,UW,5.690057193683522,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,22,22,8,0.8,0.35,F,n,n,n,0,1.05,d,3,3,0.058,1447953,,,,,,,,,,,,,0.58,254,71,1.03,58,17,1.62,2013-07-26 23:24:19,UW2AQMS,5,2012-02-27 16:10:55
10242483,lf,this is a very unusual event; can't bring it up in depth,UW,5.690057193683522,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,22,22,8,0.8,0.35,F,n,n,n,0,1.05,d,3,3,0.058,1447953,,,,,,,,,,,,,0.58,254,71,1.03,58,17,1.62,2013-07-26 23:24:19,UW2AQMS,5,2012-02-27 16:10:55
10242483,lf,"this is probably a much shallower event, but can't do anything with it",UW,5.690057193683522,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,22,22,8,0.8,0.35,F,n,n,n,0,1.05,d,3,3,0.058,1447953,,,,,,,,,,,,,0.58,254,71,1.03,58,17,1.62,2013-07-26 23:24:19,UW2AQMS,5,2012-02-27 16:10:55
10242483,lf,UW2 Q1=C  Q2=D,UW,5.690057193683522,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,22,22,8,0.8,0.35,F,n,n,n,0,1.05,d,3,3,0.058,1447953,,,,,,,,,,,,,0.58,254,71,1.03,58,17,1.62,2013-07-26 23:24:19,UW2AQMS,5,2012-02-27 16:10:55
