evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,mbs_distance_km,distance,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10835408,uk,1,2,1033213,DNAG card: ISC   1969 6112145 8.00   48.800-122.100 33.0 10         4.00MCLON (Y,899628,3.4,d,,0,0,1155923,UW,UW2AQMS,1969-06-11 14:45:08-07,48.7998333,-122.0998333,33,20.896907078491605,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835408,uk,1,2,1033213,elin),899628,3.4,d,,0,0,1155923,UW,UW2AQMS,1969-06-11 14:45:08-07,48.7998333,-122.0998333,33,20.896907078491605,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835408,uk,1,2,1033213,ML from Seattle and Newport (Yelin).,899628,3.4,d,,0,0,1155923,UW,UW2AQMS,1969-06-11 14:45:08-07,48.7998333,-122.0998333,33,20.896907078491605,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835408,uk,1,2,1033213,UW2 Q1=-  Q2=-,899628,3.4,d,,0,0,1155923,UW,UW2AQMS,1969-06-11 14:45:08-07,48.7998333,-122.0998333,33,20.896907078491605,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835518,uk,1,2,1033323,DNAG card: EPB   1969 8 216 012.00   49.000-121.300 18.0 23  20.00.02.50MLEPB  0,899738,2.5,d,,0,0,1156033,UW,UW2AQMS,1969-08-02 09:00:12-07,49,-121.3,18,45.37301973822348,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835518,uk,1,2,1033323,.00       0,899738,2.5,d,,0,0,1156033,UW,UW2AQMS,1969-08-02 09:00:12-07,49,-121.3,18,45.37301973822348,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835518,uk,1,2,1033323,UW2 Q1=-  Q2=-,899738,2.5,d,,0,0,1156033,UW,UW2AQMS,1969-08-02 09:00:12-07,49,-121.3,18,45.37301973822348,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835728,uk,1,2,1033533,DNAG card: EPB   196910 210 940.00   48.600-121.700 18.0 29  30.00.03.00MLEPB  0,899948,3,d,,0,0,1156243,UW,UW2AQMS,1969-10-02 03:09:40-07,48.5998333,-121.6998333,18,21.247219907077053,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835728,uk,1,2,1033533,UW2 Q1=-  Q2=-,899948,3,d,,0,0,1156243,UW,UW2AQMS,1969-10-02 03:09:40-07,48.5998333,-121.6998333,18,21.247219907077053,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835728,uk,1,2,1033533,.00       0,899948,3,d,,0,0,1156243,UW,UW2AQMS,1969-10-02 03:09:40-07,48.5998333,-121.6998333,18,21.247219907077053,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835733,uk,1,2,1033538,.00       0,899953,2.5,d,,0,0,1156248,UW,UW2AQMS,1969-10-02 04:17:43-07,48.7998333,-121.6998333,18,9.04814637274832,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
10835733,uk,1,2,1033538,UW2 Q1=-  Q2=-,899953,2.5,d,,0,0,1156248,UW,UW2AQMS,1969-10-02 04:17:43-07,48.7998333,-121.6998333,18,9.04814637274832,,0,,,,,,0,n,n,n,,,,,,,,,,,,,,,,,,,
