evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,to_timestamp,lat,lon,depth,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10096928,eq,1,6,275228,"possible blast, coda from devel",993018,0.63,d,0.066,3,3,1248918,UW,Jiggle,1981-01-29 14:25:12.74-08,48.6823333,-121.7106667,16.924,0.8,0,1.18,2.42,,,0,n,n,n,,,,,,,,,,,2.69,16,63,0.94,236,20,0.41,,
10096928,eq,1,6,275228,UW2 Q1=C  Q2=D,993018,0.63,d,0.066,3,3,1248918,UW,Jiggle,1981-01-29 14:25:12.74-08,48.6823333,-121.7106667,16.924,0.8,0,1.18,2.42,,,0,n,n,n,,,,,,,,,,,2.69,16,63,0.94,236,20,0.41,,
10218503,eq,1,5,396803,UW2 Q1=B  Q2=D,942308,0.96,d,0,1,1,1199608,UW,Jiggle,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,0.3,0.28,5.94,7.98,,,0,n,n,n,,,,,,,,,,,9.95,14,53,2.31,220,33,1.04,,
10218503,eq,1,5,396803,rbb,942308,0.96,d,0,1,1,1199608,UW,Jiggle,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,0.3,0.28,5.94,7.98,,,0,n,n,n,,,,,,,,,,,9.95,14,53,2.31,220,33,1.04,,
10218503,eq,1,5,396803,this is just over the border? Canadian data would be nice;,942308,0.96,d,0,1,1,1199608,UW,Jiggle,1987-07-02 15:43:27.469999-07,49.0568333,-122.01,2.8,0.3,0.28,5.94,7.98,,,0,n,n,n,,,,,,,,,,,9.95,14,53,2.31,220,33,1.04,,
10242483,lf,1,5,420783,Canadian data added 7/19/89  ruth,1193603,1.05,d,0.058,3,3,1447953,UW,Jiggle,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,0.8,0.35,1.54,0.98,,,0,n,n,n,,,,,,,,,,,1.62,58,17,1.03,254,71,0.58,,
10242483,lf,1,5,420783,"this is probably a much shallower event, but can't do anything with it",1193603,1.05,d,0.058,3,3,1447953,UW,Jiggle,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,0.8,0.35,1.54,0.98,,,0,n,n,n,,,,,,,,,,,1.62,58,17,1.03,254,71,0.58,,
10242483,lf,1,5,420783,rbb,1193603,1.05,d,0.058,3,3,1447953,UW,Jiggle,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,0.8,0.35,1.54,0.98,,,0,n,n,n,,,,,,,,,,,1.62,58,17,1.03,254,71,0.58,,
10242483,lf,1,5,420783,this is a very unusual event; can't bring it up in depth,1193603,1.05,d,0.058,3,3,1447953,UW,Jiggle,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,0.8,0.35,1.54,0.98,,,0,n,n,n,,,,,,,,,,,1.62,58,17,1.03,254,71,0.58,,
10242483,lf,1,5,420783,UW2 Q1=C  Q2=D,1193603,1.05,d,0.058,3,3,1447953,UW,Jiggle,1989-03-18 18:02:37.51-08,48.809,-121.7598333,31.758,0.8,0.35,1.54,0.98,,,0,n,n,n,,,,,,,,,,,1.62,58,17,1.03,254,71,0.58,,
10244703,lf,1,5,423003,UW2 Q1=B  Q2=D,993003,0.95,d,0.011,2,2,1248903,UW,Jiggle,1989-04-28 16:26:17.93-07,48.7636667,-121.7945,25.933,0.8,0.31,1.65,2.11,,,0,n,n,n,,,,,,,,,,,2.48,339,58,1.65,69,0,1.08,,
10244703,lf,1,5,423003,"NEAR:      2.0 km SSE of Mt Baker, WA",993003,0.95,d,0.011,2,2,1248903,UW,Jiggle,1989-04-28 16:26:17.93-07,48.7636667,-121.7945,25.933,0.8,0.31,1.65,2.11,,,0,n,n,n,,,,,,,,,,,2.48,339,58,1.65,69,0,1.08,,
10244703,lf,1,5,423003,AUTO PICK: cpick Ver. 6.21 Wed Jun 28 16:38:53 2006,993003,0.95,d,0.011,2,2,1248903,UW,Jiggle,1989-04-28 16:26:17.93-07,48.7636667,-121.7945,25.933,0.8,0.31,1.65,2.11,,,0,n,n,n,,,,,,,,,,,2.48,339,58,1.65,69,0,1.08,,
10246703,lf,1,5,425003,rbb this is another strange low freq  near Mt Baker,993008,0.9,d,0.007,2,2,1248908,UW,Jiggle,1989-08-08 00:48:20.49-07,48.7668333,-121.7858333,20.228,0.8,0.2,1.68,2.1,,,0,n,n,n,,,,,,,,,,,2.69,41,51,1.11,235,37,0.69,,
10246703,lf,1,5,425003,UW2 Q1=B  Q2=D,993008,0.9,d,0.007,2,2,1248908,UW,Jiggle,1989-08-08 00:48:20.49-07,48.7668333,-121.7858333,20.228,0.8,0.2,1.68,2.1,,,0,n,n,n,,,,,,,,,,,2.69,41,51,1.11,235,37,0.69,,
10261193,lf,1,5,439493,UW2 Q1=D  Q2=D,450468,1.9,d,0.14,4,4,1248948,UW,Jiggle,1990-07-08 08:40:22.81-07,48.7016667,-121.7726667,25.932,0.5,1.15,3.74,31.61,,,0,y,y,y,,,,,,,,,,,31.61,0,90,3.74,260,0,3.58,,
10261193,lf,1,5,439493,"rbb this is a tough one, type unknown, but maybe a blast????",450468,1.9,d,0.14,4,4,1248948,UW,Jiggle,1990-07-08 08:40:22.81-07,48.7016667,-121.7726667,25.932,0.5,1.15,3.74,31.61,,,0,y,y,y,,,,,,,,,,,31.61,0,90,3.74,260,0,3.58,,
