evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,origin_datetime,lat,lon,depth,mbs_distance_km,distance,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10849673,eq,1,3,1047608.0,UW2 Q1=C  Q2=D,913918.0,2.2,d,0.09,10.0,10.0,1170523,UW,UW2AQMS,1979-05-03T22:55:56.000000Z,48.7838333,-121.784,-0.066,2.644800302389107,8.0,0.5,0.47,2.32,2.87,1.6,1.68,0,False,False,False,,,,,,,,,,,,,,,,,,,
10850868,eq,1,3,1048803.0,UW2 Q1=C  Q2=D,915093.0,2.5,d,0.06,6.0,6.0,1171718,UW,UW2AQMS,1979-10-18T23:08:08.000000Z,48.4756667,-121.6165,-0.062,36.35574975606041,8.0,0.5,0.2,4.181,7.51,2.76,3.14,0,False,False,False,,,,,,,,,,,,,,,,,,,
10850868,eq,1,3,1048803.0,U Focal Mechanism attempted but judged UNRELIABLE,915093.0,2.5,d,0.06,6.0,6.0,1171718,UW,UW2AQMS,1979-10-18T23:08:08.000000Z,48.4756667,-121.6165,-0.062,36.35574975606041,8.0,0.5,0.2,4.181,7.51,2.76,3.14,0,False,False,False,,,,,,,,,,,,,,,,,,,
10204348,eq,1,2,382648.0,UW2 Q1=D  Q2=D,400468.0,2.4,d,0.05,15.0,15.0,481273,UW,UW2AQMS,1986-04-18T10:08:04.000000Z,48.839,-121.8678333,0.297,8.07391609870573,6.0,0.5,0.51,3.982,2.77,2.41,3.17,0,False,False,False,,,,,,,,,,,,,,,,,,,
10204348,eq,1,2,382648.0,rbb,400468.0,2.4,d,0.05,15.0,15.0,481273,UW,UW2AQMS,1986-04-18T10:08:04.000000Z,48.839,-121.8678333,0.297,8.07391609870573,6.0,0.5,0.51,3.982,2.77,2.41,3.17,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,FELT- NO SQUASH OR SLASG,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,rbb,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,Canadian data added 8/1/88  ruth,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,U Focal Mechanism attempted but judged UNRELIABLE,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,felt,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10228898,eq,1,2,407198.0,UW2 Q1=B  Q2=B,420093.0,2.9,d,0.06,19.0,19.0,505843,UW,UW2AQMS,1988-04-04T02:47:35.000000Z,48.4938333,-122.1325,1.378,38.86920439935336,7.0,1.0,0.29,0.639,0.97,0.49,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,FELT,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,felt,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,UW2 Q1=C  Q2=B,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,rbb,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,Canadian data added 7/19/89  ruth,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,Also felt in the Big Lake area,431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10240638,eq,1,2,418938.0,"felt in Mt. Vernon, reported by Skagit Co. Dept. of Emer. Serv.",431303.0,2.4,d,0.07,9.0,9.0,517583,UW,UW2AQMS,1989-02-15T01:11:29.000000Z,48.4168333,-122.2186667,-0.998,49.531532534476504,7.0,1.0,0.38,0.822,1.37,0.49,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,Canadian data added 7/19/89  ruth,430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,FELT Prelim by SDM,430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,"rbb felt in Mt. Vernon,mostly",430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,notable event,430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,UW2 Q1=B  Q2=B,430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239508,eq,1,2,2066273.0,felt,430218.0,4.2,d,0.05,21.0,21.0,516453,UW,UW2AQMS,1989-03-06T03:09:53.000000Z,48.4298333,-122.2318333,-0.821,48.97301427243473,8.0,1.0,0.23,0.526,0.98,0.33,0.41,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239578,eq,1,2,417878.0,Canadian data added 7/19/89  ruth,430298.0,1.7,d,0.09,8.0,8.0,516523,UW,UW2AQMS,1989-03-06T03:59:00.000000Z,48.4253333,-122.2148333,0.988,48.60429046509754,7.0,1.0,0.29,0.898,1.34,0.65,0.62,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239578,eq,1,2,417878.0,UW2 Q1=B  Q2=B,430298.0,1.7,d,0.09,8.0,8.0,516523,UW,UW2AQMS,1989-03-06T03:59:00.000000Z,48.4253333,-122.2148333,0.988,48.60429046509754,7.0,1.0,0.29,0.898,1.34,0.65,0.62,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239578,eq,1,2,417878.0,rbb,430298.0,1.7,d,0.09,8.0,8.0,516523,UW,UW2AQMS,1989-03-06T03:59:00.000000Z,48.4253333,-122.2148333,0.988,48.60429046509754,7.0,1.0,0.29,0.898,1.34,0.65,0.62,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239713,eq,1,2,418013.0,FELT,430403.0,2.0,d,0.09,7.0,7.0,516658,UW,UW2AQMS,1989-03-06T07:57:06.000000Z,48.4258333,-122.225,0.208,49.01358765060527,7.0,1.0,0.27,0.708,1.12,0.47,0.53,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239713,eq,1,2,418013.0,rbb,430403.0,2.0,d,0.09,7.0,7.0,516658,UW,UW2AQMS,1989-03-06T07:57:06.000000Z,48.4258333,-122.225,0.208,49.01358765060527,7.0,1.0,0.27,0.708,1.12,0.47,0.53,0,False,False,False,,,,,,,,,,,,,,,,,,,
10239713,eq,1,2,418013.0,UW2 Q1=B  Q2=B,430403.0,2.0,d,0.09,7.0,7.0,516658,UW,UW2AQMS,1989-03-06T07:57:06.000000Z,48.4258333,-122.225,0.208,49.01358765060527,7.0,1.0,0.27,0.708,1.12,0.47,0.53,0,False,False,False,,,,,,,,,,,,,,,,,,,
