evid,etype,selectflag,version,commid,remark,magid,magnitude,magtype,uncertainty,nobs,nsta,orid,auth,subsource,origin_datetime,lat,lon,depth,mbs_distance_km,distance,quality,wrms,erhor,sdep,erlat,erlon,bogusflag,fdepth,fepi,ftime,stt,stx,sty,stz,sxx,sxy,sxz,syy,syz,szz,maglarge,azilarge,diplarge,maginter,aziinter,dipinter,magsmall,azismall,dipsmall
10852948,eq,1,3,1054688.0,UW2 Q1=B  Q2=D,921743.0,2.8,d,0.07,6.0,6.0,1178988,UW,UW2AQMS,1972-04-19T10:16:04.000000Z,48.7416667,-122.1273333,-0.762,23.025315396775596,62.0,1.0,0.16,0.655,0.88,0.18,0.63,0,True,False,False,,,,,,,,,,,,,,,,,,,
10853018,eq,1,3,1054758.0,UW2 Q1=B  Q2=D,921813.0,2.4,d,0.07,7.0,7.0,1179058,UW,UW2AQMS,1972-04-24T04:09:59.000000Z,48.6711667,-122.207,14.071,30.81617539543825,56.0,0.8,0.25,1.775,2.35,0.9,1.53,0,True,True,False,,,,,,,,,,,,,,,,,,,
10853073,eq,1,3,1054813.0,UW2 Q1=D  Q2=D,921868.0,2.2,d,0.07,5.0,5.0,1179113,UW,UW2AQMS,1972-04-29T21:02:27.000000Z,48.5376667,-122.3431667,-0.569,46.75537215282228,49.0,0.5,0.31,9.08,12.63,1.2,9.0,0,False,False,False,,,,,,,,,,,,,,,,,,,
10853163,eq,1,3,1054903.0,UW2 Q1=D  Q2=D,921958.0,2.9,d,0.12,3.0,3.0,1179203,UW,UW2AQMS,1972-05-20T16:32:16.000000Z,48.6298333,-122.4021667,17.541,45.84299912356737,59.0,0.5,0.28,7.506,13.36,5.9,4.64,0,True,True,False,,,,,,,,,,,,,,,,,,,
10853168,eq,1,3,1054908.0,UW2 Q1=C  Q2=D,921963.0,2.8,d,0.06,3.0,3.0,1179208,UW,UW2AQMS,1972-05-20T19:56:17.000000Z,48.6628333,-122.3776667,13.811,42.95058278770175,61.0,0.5,0.19,3.292,3.46,1.24,3.05,0,False,False,False,,,,,,,,,,,,,,,,,,,
10854393,eq,1,3,1056133.0,UW2 Q1=B  Q2=D,923128.0,2.7,d,0.07,5.0,5.0,1180433,UW,UW2AQMS,1972-10-10T11:26:53.000000Z,48.4996667,-122.2856667,19.651,46.031057556551914,43.0,0.8,0.22,2.217,2.08,0.82,2.06,0,True,True,False,,,,,,,,,,,,,,,,,,,
10854468,eq,1,3,1056208.0,UW2 Q1=B  Q2=D,923203.0,3.0,d,0.07,5.0,5.0,1180508,UW,UW2AQMS,1972-10-16T22:08:32.000000Z,48.821,-122.1306667,11.328,23.53522564729695,71.0,0.5,0.28,2.23,3.02,1.33,1.79,0,False,False,False,,,,,,,,,,,,,,,,,,,
10854683,eq,1,3,1056423.0,UW2 Q1=B  Q2=D,923413.0,2.1,d,0.09,2.0,2.0,1180723,UW,UW2AQMS,1972-10-30T20:28:41.000000Z,48.626,-122.3445,24.811,42.07334113026796,57.0,0.8,0.21,1.62,2.35,0.78,1.42,0,False,False,False,,,,,,,,,,,,,,,,,,,
10854903,eq,1,3,1056643.0,UW2 Q1=C  Q2=C,923633.0,2.4,d,0.13,5.0,5.0,1180943,UW,UW2AQMS,1972-11-22T12:38:27.000000Z,48.7011667,-122.1555,16.883,26.114487731937096,20.0,0.5,0.37,3.128,8.78,2.12,2.3,0,False,False,False,,,,,,,,,,,,,,,,,,,
10854908,eq,1,3,1056648.0,UW2 Q1=C  Q2=D,923638.0,2.0,d,0.14,3.0,3.0,1180948,UW,UW2AQMS,1972-11-22T13:58:50.000000Z,48.6973333,-122.1466667,16.943,25.64025767245064,20.0,0.5,0.4,3.445,8.7,2.5,2.37,0,True,True,False,,,,,,,,,,,,,,,,,,,
10855023,eq,1,3,1056763.0,UW2 Q1=C  Q2=C,923753.0,2.4,d,0.15,5.0,5.0,1181063,UW,UW2AQMS,1972-11-29T09:13:53.000000Z,48.6763333,-122.166,8.503,27.81629923280839,22.0,0.5,0.2,1.097,6.52,0.75,0.8,0,True,True,False,,,,,,,,,,,,,,,,,,,
10855128,eq,1,3,1056868.0,UW2 Q1=B  Q2=D,923838.0,2.1,d,0.13,3.0,3.0,1181168,UW,UW2AQMS,1972-12-02T16:29:08.000000Z,48.4823333,-122.2556667,21.663,45.758346654460695,40.0,0.5,0.16,1.173,4.33,0.97,0.66,0,False,False,False,,,,,,,,,,,,,,,,,,,
10855243,eq,1,3,1056983.0,UW2 Q1=D  Q2=D,923953.0,2.7,d,0.09,5.0,5.0,1181283,UW,UW2AQMS,1972-12-09T13:14:38.000000Z,48.8061667,-122.133,7.506,23.40099009267531,17.0,0.5,0.32,25.589,40.86,10.31,23.42,0,True,True,True,,,,,,,,,,,,,,,,,,,
10855248,eq,1,3,1056988.0,UW2 Q1=C  Q2=D,923958.0,2.6,d,0.06,5.0,5.0,1181288,UW,UW2AQMS,1972-12-09T13:30:48.000000Z,48.8146667,-122.1236667,9.146,22.88891301672353,16.0,0.5,0.3,3.877,11.91,2.48,2.98,0,False,False,False,,,,,,,,,,,,,,,,,,,
10855893,eq,1,3,1057633.0,UW2 Q1=B  Q2=D,924553.0,2.5,d,0.2,2.0,2.0,1181933,UW,UW2AQMS,1973-02-26T20:41:07.000000Z,48.8008333,-122.3688333,8.39,40.51902062071514,36.0,0.0,0.1,1.79,0.0,1.05,1.45,0,False,False,False,,,,,,,,,,,,,,,,,,,
10840178,eq,1,3,1038113.0,UW2 Q1=C  Q2=D,904628.0,1.9,d,0.13,4.0,4.0,1161023,UW,UW2AQMS,1973-06-01T19:05:50.000000Z,48.51,-121.7658333,-0.742,29.65221382867158,37.0,0.8,0.34,1.727,2.48,0.57,1.63,0,True,False,False,,,,,,,,,,,,,,,,,,,
10856308,eq,1,3,1058048.0,UW2 Q1=B  Q2=D,924958.0,1.9,d,0.12,6.0,6.0,1182348,UW,UW2AQMS,1973-06-03T11:16:03.000000Z,48.4266667,-122.2085,18.21,48.20629215995381,33.0,1.0,0.16,1.902,1.61,1.34,1.35,0,False,False,False,,,,,,,,,,,,,,,,,,,
10856378,eq,1,3,1058118.0,UW2 Q1=B  Q2=D,925028.0,2.3,d,0.14,4.0,4.0,1182418,UW,UW2AQMS,1973-06-12T15:44:27.000000Z,48.8665,-122.0925,10.247,22.603014513832896,58.0,0.5,0.19,1.806,4.1,1.02,1.49,0,False,False,False,,,,,,,,,,,,,,,,,,,
