2009-01-02 18:41:26.099700, MBW EHZ UW 01, baker0
2009-01-03 20:54:52.001300, MBW EHZ UW 01, baker0
2009-01-08 00:08:02.620400, MBW EHZ UW 01, baker1
2009-01-08 00:08:25.150400, MBW EHZ UW 01, baker1
2009-03-18 06:44:15.570300, MBW EHZ UW 01, baker2
2009-03-18 12:25:00.630300, MBW EHZ UW 01, baker2
2009-03-19 09:21:55.510600, MBW EHZ UW 01, baker2
2009-03-30 02:44:26.170900, MBW EHZ UW 01, baker3
2009-03-30 03:34:28.550400, MBW EHZ UW 01, baker3
2009-04-08 12:40:36.250400, MBW EHZ UW 01, baker4
2009-04-08 13:09:03.293300, MBW EHZ UW 01, baker4
2009-04-09 10:37:36.460100, MBW EHZ UW 01, baker5
2009-04-09 10:45:09.310100, MBW EHZ UW 01, baker5
2009-04-09 11:41:14.621000, MBW EHZ UW 01, baker5
2009-04-09 13:13:42.547700, MBW EHZ UW 01, baker5
2009-04-09 19:41:19.670200, MBW EHZ UW 01, baker5
2009-04-09 20:11:18.060000, MBW EHZ UW 01, baker5
2009-04-09 21:00:51.340600, MBW EHZ UW 01, baker5
2009-04-09 21:21:36.200600, MBW EHZ UW 01, baker5
2009-04-10 02:27:58.011100, MBW EHZ UW 01, baker5
2009-04-10 05:26:34.755100, MBW EHZ UW 01, baker5
2009-04-10 05:31:44.165100, MBW EHZ UW 01, baker5
2009-04-10 06:38:59.500800, MBW EHZ UW 01, baker5
2009-04-11 07:20:20.250400, MBW EHZ UW 01, baker5
2009-04-11 07:47:26.770400, MBW EHZ UW 01, baker5
2009-04-11 11:18:21.950600, MBW EHZ UW 01, baker5
2009-04-12 05:53:13.821100, MBW EHZ UW 01, baker5
2009-04-12 13:41:22.171300, MBW EHZ UW 01, baker5
2009-04-12 13:51:05.881300, MBW EHZ UW 01, baker5
2009-04-15 01:16:47.931100, MBW EHZ UW 01, baker5
2009-04-17 14:49:07.681300, MBW EHZ UW 01, baker5
2009-04-19 21:27:54.131300, MBW EHZ UW 01, baker5
2009-04-09 12:21:50.470100, MBW EHZ UW 01, baker6
2009-04-09 13:30:13.717700, MBW EHZ UW 01, baker6
2009-04-09 17:15:36.000100, MBW EHZ UW 01, baker6
2009-04-09 22:41:32.510000, MBW EHZ UW 01, baker6
2009-04-10 11:16:03.091100, MBW EHZ UW 01, baker6
2009-04-11 18:40:05.938800, MBW EHZ UW 01, baker7
2009-04-12 13:31:45.161300, MBW EHZ UW 01, baker7
2009-04-12 18:27:19.890100, MBW EHZ UW 01, baker7
2009-04-18 14:35:11.400500, MBW EHZ UW 01, baker7
2009-04-16 01:36:41.620300, MBW EHZ UW 01, baker8
2009-04-17 10:20:25.440200, MBW EHZ UW 01, baker8
2009-05-01 13:31:49.144900, MBW EHZ UW 01, baker9
2009-05-01 15:14:54.790900, MBW EHZ UW 01, baker9
2009-05-21 05:21:13.710600, MBW EHZ UW 01, baker9
