cluster_index,reftime
0,2009-01-02 18:41:26.099700
0,2009-01-03 20:54:52.001300
1,2009-01-08 00:08:02.620400
1,2009-01-08 00:08:25.150400
2,2009-03-18 06:44:15.570300
2,2009-03-18 12:25:00.630300
2,2009-03-19 09:21:55.510600
3,2009-03-30 02:44:26.170900
3,2009-03-30 03:34:28.550400
4,2009-04-08 12:40:36.250400
4,2009-04-08 13:09:03.293300
5,2009-04-09 10:37:36.460100
5,2009-04-09 10:45:09.310100
5,2009-04-09 11:41:14.621000
5,2009-04-09 13:13:42.547700
5,2009-04-09 19:41:19.670200
5,2009-04-09 20:11:18.060000
5,2009-04-09 21:00:51.340600
5,2009-04-09 21:21:36.200600
5,2009-04-10 02:27:58.011100
5,2009-04-10 05:26:34.755100
5,2009-04-10 05:31:44.165100
5,2009-04-10 06:38:59.500800
5,2009-04-11 07:20:20.250400
5,2009-04-11 07:47:26.770400
5,2009-04-11 11:18:21.950600
5,2009-04-12 05:53:13.821100
5,2009-04-12 13:41:22.171300
5,2009-04-12 13:51:05.881300
5,2009-04-15 01:16:47.931100
5,2009-04-17 14:49:07.681300
5,2009-04-19 21:27:54.131300
6,2009-04-09 12:21:50.470100
6,2009-04-09 13:30:13.717700
6,2009-04-09 17:15:36.000100
6,2009-04-09 22:41:32.510000
6,2009-04-10 11:16:03.091100
7,2009-04-11 18:40:05.938800
7,2009-04-12 13:31:45.161300
7,2009-04-12 18:27:19.890100
7,2009-04-18 14:35:11.400500
8,2009-04-16 01:36:41.620300
8,2009-04-17 10:20:25.440200
9,2009-05-01 13:31:49.144900
9,2009-05-01 15:14:54.790900
9,2009-05-21 05:21:13.710600
9,2015-03-07 10:21:55.480009
9,2015-03-07 11:14:19.359691
10,2009-05-15 05:27:36.211400
10,2009-05-15 06:01:16.290100
10,2009-09-12 21:26:50.721400
10,2009-09-13 19:18:27.230300
10,2009-09-25 12:46:57.310000
11,2009-06-20 19:46:12.159800
11,2009-06-21 03:07:18.390800
12,2009-07-02 19:35:15.781100
12,2009-07-05 05:19:58.150200
13,2009-07-22 17:04:10.570700
13,2009-07-25 14:17:30.580500
13,2009-07-25 19:59:44.580300
13,2009-07-27 12:49:43.630200
13,2009-07-29 03:27:40.635000
13,2009-07-31 19:01:45.600200
13,2009-08-02 16:30:18.128500
13,2009-08-03 17:17:52.350500
13,2009-08-21 15:25:17.880700
13,2009-08-22 16:59:46.680500
13,2010-06-30 08:44:53.811100
13,2011-07-07 06:15:39.460000
13,2011-07-08 17:31:23.519900
13,2011-07-09 09:48:06.820000
13,2012-07-14 21:39:51.410000
13,2014-11-05 08:38:05.420161
13,2015-06-28 05:32:24.030007
13,2015-06-28 19:20:04.660011
13,2015-06-30 07:20:47.210023
13,2016-05-14 19:12:04.300008
13,2016-05-15 01:31:28.810009
13,2016-05-15 18:49:05.560068
13,2016-05-19 14:34:49.760228
13,2016-05-19 22:46:52.450007
13,2016-06-08 13:37:02.210031
13,2017-06-19 17:32:11.880000
13,2017-06-19 22:49:30.390000
13,2017-06-20 09:00:00.950000
13,2017-06-23 17:37:12.350000
13,2017-06-25 18:20:31.640000
13,2017-06-27 15:26:36.850000
13,2017-07-01 16:26:00.530000
13,2017-07-02 20:22:28.220000
13,2018-06-20 07:43:05.900628
13,2018-06-30 23:05:09.590012
13,2018-07-02 04:43:26.740352
13,2018-07-02 19:50:23.210005
13,2018-07-06 06:15:58.100435
13,2018-07-07 10:25:24.070026
13,2018-07-11 22:08:34.950126
13,2018-07-26 09:42:11.193118
13,2018-07-29 04:45:22.691411
13,2018-07-30 17:46:51.201364
13,2018-08-02 10:12:03.700002
13,2018-08-12 01:08:44.700009
13,2018-08-21 17:34:39.940004
13,2018-08-22 14:20:42.920143
13,2022-06-18 08:39:55.070000
13,2022-06-22 11:28:06.200000
13,2022-06-23 04:21:26.810000
13,2022-06-25 17:56:24.790000
13,2022-06-26 11:35:15.630000
13,2022-06-28 04:38:55.210000
13,2022-06-28 04:39:56.730000
13,2022-06-29 03:39:41.720000
13,2022-06-30 15:52:32.430000
13,2022-07-02 16:06:17.640000
13,2022-07-02 22:18:00.680000
13,2022-07-03 21:33:45.270000
13,2022-07-04 15:12:42.560000
13,2022-07-05 23:28:59.730000
13,2022-07-06 18:26:52.870000
13,2022-07-07 10:41:49.820000
13,2022-07-09 09:25:34.960000
13,2022-07-10 21:29:11.240000
13,2022-07-10 21:30:24.560000
