evid,prefor_time,ref_time,dt_sec,cluster_id,etype,xcorr_petype,tidy_group
uw10835733,1969-10-02 11:17:43.000,2009-01-02 18:41:26.099700,1238743423.0997,0,uk,uk,-2.0
uw10857743,1973-11-11 19:01:57.980,2009-01-02 18:41:26.099700,1109029168.1197,0,eq,eq,-2.0
uw10857783,1973-11-20 13:35:10.130,2009-01-02 18:41:26.099700,1108271175.9697,0,eq,eq,-2.0
uw10845458,1977-12-28 21:13:00.710,2009-01-02 18:41:26.099700,978730105.3897,0,eq,eq,-2.0
uw10849148,1979-03-11 05:35:18.400,2009-01-02 18:41:26.099700,940943167.6997,0,eq,eq,-2.0
uw10849673,1979-05-03 22:55:56.540,2009-01-02 18:41:26.099700,936301529.5597,0,eq,eq,-2.0
uw10850003,1979-06-18 21:15:52.560,2009-01-02 18:41:26.099700,932333133.5397,0,eq,eq,-2.0
uw10850658,1979-09-10 20:20:18.330,2009-01-02 18:41:26.099700,925078867.7697,0,eq,eq,-2.0
uw10851178,1979-11-16 14:32:01.640,2009-01-02 18:41:26.099700,919310964.4597,0,eq,eq,-2.0
uw10075123,1980-01-31 01:41:01.510,2009-01-02 18:41:26.099700,912790824.5897,0,eq,eq,-2.0
uw10079893,1980-06-17 12:24:36.000,2009-01-02 18:41:26.099700,900829010.0997,0,eq,eq,-2.0
uw10082228,1980-07-15 21:33:06.130,2009-01-02 18:41:26.099700,898376899.9697,0,eq,eq,-2.0
uw10088728,1980-09-26 09:26:06.180,2009-01-02 18:41:26.099700,892113319.9197,0,eq,eq,-2.0
uw10091478,1980-10-16 20:57:20.290,2009-01-02 18:41:26.099700,890343845.8097,0,eq,eq,-1.0
uw10095628,1980-12-27 20:09:01.740,2009-01-02 18:41:26.099700,884125944.3597,0,eq,eq,-2.0
uw10096928,1981-01-29 22:25:03.740,2009-01-02 18:41:26.099700,881266582.3597,0,eq,eq,-2.0
uw10112323,1981-02-24 19:10:35.320,2009-01-02 18:41:26.099700,879031850.7797,0,eq,eq,-2.0
uw10098183,1981-03-02 21:16:41.210,2009-01-02 18:41:26.099700,878505884.8897,0,px,px,-2.0
uw10099248,1981-03-04 20:53:04.150,2009-01-02 18:41:26.099700,878334501.9497,0,eq,eq,-2.0
uw10107608,1981-03-24 14:14:33.310,2009-01-02 18:41:26.099700,876630412.7897,0,eq,eq,-2.0
uw10102378,1981-04-11 05:11:58.490,2009-01-02 18:41:26.099700,875107767.6097,0,eq,eq,-2.0
uw10106588,1981-05-28 15:13:06.830,2009-01-02 18:41:26.099700,871010899.2697,0,eq,eq,-2.0
