Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
4P,WAA04,48.724407,-122.711949,58.21944808925,Limmus Island WA USA,2007-07-30T01:52:49,2007-08-18T18:58:36
4P,WAA05,48.985785,-122.118056,176.06347656225,Silverlake WA USA,2007-07-29T03:26:48,2007-08-18T22:10:40
4P,WAB05,48.191512,-122.040368,131.07917404175,Arlington Heights WA USA,2007-07-30T21:33:26,2007-08-20T15:48:31
4P,WAB06,48.521098,-121.387116,117.8910972595,Concrete WA USA,2007-08-13T01:21:27,2007-09-01T18:22:23
4P,WAC05,47.899293,-121.720949,199.75945281975,Haywire Ridge WA USA,2007-08-11T00:33:10,2007-09-01T22:52:13
AM,R382B,48.72973,-122.480656,64.53,Raspberry Shake Citizen Science Station,2023-08-20T17:54:18,2023-11-13T21:58:17
AM,R382B,48.990991,-122.734665,18.0,Raspberry Shake Citizen Science Station,2023-11-13T21:58:17,2599-12-31T23:59:59
CC,OSO1,48.283697,-121.854406,195.0,Oso Landslide Spider 1,2014-03-31T00:00:00,2014-05-10T00:00:00
CC,OSO2,48.286652,-121.852805,279.0,Oso Landslide Spider 2,2014-03-31T00:00:00,2014-05-08T00:00:00
CC,OSO3,48.284958,-121.848385,157.0,Oso Landslide Spider 3,2014-03-31T00:00:00,2014-05-03T00:00:00
GS,EVER1,48.093532,-122.409227,32.0,EVER1,2024-02-27T00:00:00,2599-12-31T23:59:59
GS,EVER3,48.053144,-122.229857,73.0,EVER3,2024-03-06T00:00:00,2599-12-31T23:59:59
GS,EVER4,48.01968,-122.576184,21.0,EVER4,2024-02-15T00:00:00,2599-12-31T23:59:59
GS,EVER6,47.890677,-122.266298,158.0,EVER6,2024-03-05T00:00:00,2599-12-31T23:59:59
GS,EVER7,48.150918,-122.078529,120.0,EVER7,2024-02-22T00:00:00,2599-12-31T23:59:59
GS,EVER8,48.226469,-121.950418,140.0,EVER8,2024-02-13T00:00:00,2599-12-31T23:59:59
NP,2105,48.73202,-121.0675,400.0,Ross Dam,1944-01-01T18:00:00,2599-12-31T23:59:59
NP,2178,48.47452,-122.65534,43.0,Anacortes Seismic Station,1975-06-17T18:00:00,1995-07-12T18:00:00
NP,2185,48.78948,-122.5189,52.0,Bellingham XR1 Undercrossing,1978-06-07T18:00:00,1997-03-01T18:00:00
NP,2192,48.247,-122.346,41.0,Snohomish County Public Util.,1981-03-24T18:00:00,1996-10-01T18:00:00
NP,2197,48.996,-122.742,20.0,Public Works Bldg.,1981-03-17T18:00:00,1997-04-02T18:00:00
NP,7026,48.24313,-122.45464,10.0,Camano Island Fire Station 3,1998-03-13T18:00:00,2011-02-02T18:00:00
NP,7029,48.13436,-122.76521,18.0,Fort Worden State Park,1999-04-12T18:00:00,2599-12-31T23:59:59
