Network,Station,Latitude,Longitude,Elevation,Sitename,StartTime,EndTime
UW,DMNG,48.82545,-122.21451,62.8,Deming WA USA,2021/08/05 00:00:00,2599/12/31 23:59:59
UW,MBKE,48.916377,-122.14175,135,Mt Baker-Kendall WA USA,2001/07/01 00:00:00,2599/12/31 23:59:59
UW,MBW,48.7838,-121.9009,1676,Mt. Baker WA USA,1972/09/11 00:00:00,2599/12/31 23:59:59
UW,MBW2,48.800754,-121.920067,1590.6,Mt Baker West 2 WA USA,2023/07/14 00:00:00,2599/12/31 23:59:59
UW,MULN,48.53544,-122.06441,101.7,Lyman WA USA,2021/08/09 00:00:00,2599/12/31 23:59:59
UW,PASS,48.998299,-122.085197,175.4,Maple Falls WA USA,2009/01/08 00:00:00,2599/12/31 23:59:59
UW,PLBD,48.547519,-121.744412,223,Puget Sound Energy Lower Baker Dam,2019/07/01 00:00:00,2599/12/31 23:59:59
UW,PUBD,48.652599,-121.688091,325.4,Puget Sound Energy Upper Baker Dam WA USA,2019/07/01 00:00:00,2599/12/31 23:59:59
UW,RPW2,48.44488,-121.52654,694,Rockport WA USA,2019/10/11 00:00:00,2599/12/31 23:59:59
UW,SAXON,48.683288,-122.160842,110.8,Nesset Farm Saxon WA USA,2021/10/25 00:00:00,2599/12/31 23:59:59
UW,SHUK,48.85284,-121.67695,1516,Shuksan (Mt. Baker Ski Area) WA USA,2009/09/02 00:00:00,2599/12/31 23:59:59
UW,SMSH,48.58641,-122.22551,97.3,Samish Elementary School Sedro-Woolley WA USA,2021/08/10 00:00:00,2599/12/31 23:59:59
