#Network|Station|Location|Channel|Latitude|Longitude|Elevation|Depth|Azimuth|Dip|SensorDescription|Scale|ScaleFreq|ScaleUnits|SampleRate|StartTime|EndTime
AM|R382B|00|EHE|48.72973|-122.480655|64.5|0.0|90.0|0.0|Velocity|360000000.0|5.0|M/S|100.0|2023-08-20T17:54:18|2023-11-13T21:58:17
AM|R382B|00|EHN|48.72973|-122.480655|64.5|0.0|0.0|0.0|Velocity|360000000.0|5.0|M/S|100.0|2023-08-20T17:54:18|2023-11-13T21:58:17
AM|R382B|00|EHZ|48.72973|-122.480655|64.5|0.0|0.0|-90.0|Velocity|360000000.0|5.0|M/S|100.0|2023-08-20T17:54:18|2023-11-13T21:58:17
X6|SN1||DLE|48.885564|-121.934718|292.6|0.1|90.0|0.0|NoneL-22|1769260000.0|10.0|m/s|250.0|2019-06-20T17:38:52|2020-06-23T16:29:56
X6|SN1||DLN|48.885564|-121.934718|292.6|0.1|0.0|0.0|NoneL-22|1769260000.0|10.0|m/s|250.0|2019-06-20T17:38:52|2020-06-23T16:29:56
X6|SN1||DLZ|48.885564|-121.934718|292.6|0.1|0.0|90.0|NoneL-22|1769260000.0|10.0|m/s|250.0|2019-06-20T17:38:52|2020-06-23T16:29:56
X6|SN2||DLE|48.885698|-121.934274|295.7|0.1|90.0|0.0|L-22|1769260000.0|10.0|m/s|250.0|2019-06-20T18:20:36|2020-06-23T16:10:38
X6|SN2||DLN|48.885698|-121.934274|295.7|0.1|0.0|0.0|L-22|1769260000.0|10.0|m/s|250.0|2019-06-20T18:20:36|2020-06-23T16:10:38
X6|SN2||DLZ|48.885698|-121.934274|295.7|0.1|0.0|90.0|L-22|1769260000.0|10.0|m/s|250.0|2019-06-20T18:20:36|2020-06-23T16:10:38
CN|VDB||EHZ|49.0261|-122.1028|404.0|0.0|0.0|-90.0|Geotech S-13 short-period seismometer/CNSN short-p|982086000.0|4.0|m/s|100.0|2006-05-17T01:13:00|2020-01-08T15:30:00
CN|VDEB||HHE|49.057|-122.0571|351.0|0.0|90.0|0.0|Nanometrics Trillium 120 Sec PH Response/Taurus St|479595000.0|0.4|m/s|100.0|2018-12-21T23:00:00|
CN|VDEB||HHN|49.057|-122.0571|351.0|0.0|0.0|0.0|Nanometrics Trillium 120 Sec PH Response/Taurus St|479595000.0|0.4|m/s|100.0|2018-12-21T23:00:00|
CN|VDEB||HHZ|49.057|-122.0571|351.0|0.0|0.0|-90.0|Nanometrics Trillium 120 Sec PH Response/Taurus St|479595000.0|0.4|m/s|100.0|2018-12-21T23:00:00|
CN|VDEB||HNE|49.057|-122.0571|351.0|0.0|90.0|0.0|Nanometrics Titan 4g/Taurus Standard 47k|203985.0|0.02|m/s**2|100.0|2019-02-08T18:56:00|
CN|VDEB||HNN|49.057|-122.0571|351.0|0.0|0.0|0.0|Nanometrics Titan 4g/Taurus Standard 47k|203985.0|0.02|m/s**2|100.0|2019-02-08T18:56:00|
CN|VDEB||HNZ|49.057|-122.0571|351.0|0.0|0.0|-90.0|Nanometrics Titan 4g/Taurus Standard 47k|203985.0|0.02|m/s**2|100.0|2019-02-08T18:56:00|
SY|A05A|S1|LXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A05A|S1|LXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A05A|S1|LXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A05A|S3|MXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|A05A|S3|MXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|A05A|S3|MXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|A06A|S1|LXE|49.098301|-121.4804|576.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A06A|S1|LXN|49.098301|-121.4804|576.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A06A|S1|LXZ|49.098301|-121.4804|576.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|A06A|S3|MXE|49.098301|-121.4804|576.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|A06A|S3|MXN|49.098301|-121.4804|576.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|A06A|S3|MXZ|49.098301|-121.4804|576.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|B06A|S1|LXE|48.518299|-121.484497|75.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|B06A|S1|LXN|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|B06A|S1|LXZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|B06A|S3|MXE|48.518299|-121.484497|75.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|B06A|S3|MXN|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|B06A|S3|MXZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|MRBL|S1|LXE|48.518299|-121.484497|75.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|MRBL|S1|LXN|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|MRBL|S1|LXZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|MRBL|S3|MXE|48.518299|-121.484497|75.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|MRBL|S3|MXN|48.518299|-121.484497|75.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|MRBL|S3|MXZ|48.518299|-121.484497|75.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S1|LXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S1|LXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S1|LXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|PASS|S3|MXE|48.998299|-122.085197|174.3|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S3|MXN|48.998299|-122.085197|174.3|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|PASS|S3|MXZ|48.998299|-122.085197|174.3|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S1|LXE|48.85284|-121.676949|1516.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S1|LXN|48.85284|-121.676949|1516.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S1|LXZ|48.85284|-121.676949|1516.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|0.5|1900-01-01T00:00:00|
SY|SHUK|S3|MXE|48.85284|-121.676949|1516.0|0.0|90.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S3|MXN|48.85284|-121.676949|1516.0|0.0|0.0|0.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
SY|SHUK|S3|MXZ|48.85284|-121.676949|1516.0|0.0|0.0|-90.0|Synthetic seismogram|1.0||M|6.192|1900-01-01T00:00:00|
UW|BHAM||ENE|48.78724|-122.41752|113.2|3.3|90.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
UW|BHAM||ENN|48.78724|-122.41752|113.2|3.3|0.0|0.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
UW|BHAM||ENZ|48.78724|-122.41752|113.2|3.3|0.0|-90.0|TITAN,Accelerometer,NANOMETRICS|204000.0|1.0|m/s**2|100.0|2021-08-06T00:00:00|
