evid,etype,event_timestamp,lat,lon,depth,distance,wrms,erhor,sdep,rflag,arrival_timestamp,net,sta,location,seedchan,iphase,quality,deltim,magnitude,magtype,nsta,nobs,uncertainty
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:47:53.25-08,UW,SHW,,EHZ,P,1.0,0.02,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:02.14-08,UW,LMW,,EHZ,P,1.0,0.03,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:07.89-08,UW,FMW,,EHZ,P,1.0,0.01,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:07.9-08,UW,GHW,,EHZ,P,0.5,0.13,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:11.06-08,UW,CPW,,EHZ,P,1.0,0.03,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:11.57-08,UW,GSM,,EHZ,P,0.8,0.03,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:12.79-08,UW,NAC,,EHZ,P,0.5,0.12,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:15.03-08,UW,YAK,,EHZ,P,0.3,0.25,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:15.35-08,UW,EST,,EHZ,P,0.5,0.07,4.2,d,2,2,0.05
10076128,lf,1980-03-20 15:47:52.46-08,46.192,-122.2038333,0.353,2.0,0.18,5.165,3.87,F,1980-03-20 15:48:15.44-08,UW,RMW,,EHZ,P,0.5,0.1,4.2,d,2,2,0.05
