,event_id,etype,lat,lon,depth,zerr,herr,prefor_time,mag,magtype,offset_km,CAT0,CAT1,CAT2,time_fixed,epi_fixed,depth_fixed,herr_large,zerr_large,terr_large,low_phase_count,closest_sta_too_far,too_few_sta,WC
uw10835733,quakeml:uw.anss.org/Event/UW/10835733,uk,48.7998333,-121.6998333,18000.0,,,1969-10-02 11:17:43.000,2.5,Md,9.048559201624416,True,False,False,False,False,False,True,True,False,True,True,True,False
uw10857743,quakeml:uw.anss.org/Event/UW/10857743,eq,48.6563333,-121.68200000000002,-1214.0,1400.0,928.0,1973-11-11 19:01:57.980,1.8,Md,16.463934906714947,True,False,False,False,False,True,False,False,False,True,True,False,False
uw10857783,quakeml:uw.anss.org/Event/UW/10857783,eq,48.8071667,-122.07850000000002,3176.0,99900.0,,1973-11-20 13:35:10.130,2.4,Md,19.484344805739955,True,False,False,True,True,True,True,True,True,False,True,False,False
uw10845458,quakeml:uw.anss.org/Event/UW/10845458,eq,48.6928333,-121.83366669999998,-312.0,99900.0,65862.0,1977-12-28 21:13:00.710,1.1,Md,9.16129168718376,True,False,False,True,True,True,True,True,True,False,True,False,False
uw10849148,quakeml:uw.anss.org/Event/UW/10849148,eq,48.7685,-121.7995,-828.0,1680.0,1195.0,1979-03-11 05:35:18.400,1.5,Md,1.4587226602980574,True,False,False,False,False,True,False,False,False,False,True,False,False
uw10849673,quakeml:uw.anss.org/Event/UW/10849673,eq,48.7838333,-121.784,-66.0,2870.0,2320.0,1979-05-03 22:55:56.540,2.2,Md,2.6449209720659717,True,False,False,False,False,False,False,False,False,False,True,False,False
uw10850003,quakeml:uw.anss.org/Event/UW/10850003,eq,48.7588333,-121.6743333,-298.0,1310.0,1033.0,1979-06-18 21:15:52.560,2.3,Md,10.61533465643521,True,False,False,False,False,True,False,False,False,False,True,False,False
uw10850658,quakeml:uw.anss.org/Event/UW/10850658,eq,48.7608333,-121.8175,-420.0,1100.0,888.0,1979-09-10 20:20:18.330,1.7,Md,1.519896096684146,True,False,False,False,False,True,False,False,False,False,True,False,False
uw10851178,quakeml:uw.anss.org/Event/UW/10851178,eq,48.716,-121.655,3094.0,,64.0,1979-11-16 14:32:01.640,1.4,Md,13.556291120199564,True,False,False,False,True,True,False,True,False,False,True,False,False
uw10075123,quakeml:uw.anss.org/Event/UW/10075123,eq,48.7583333,-122.0663333,1486.0,60020.0,17148.0,1980-01-31 01:41:01.510,1.6,Md,18.348571516156746,True,True,False,False,True,True,True,True,False,False,True,False,False
