,evid,time,nslc,net,sta,loc,chan,original_inst,original_chan,eval_mode,made_template,emode
0,uw62037421,2024-08-18 01:34:15.510000229,UW.SAXON..HHZ,UW,SAXON,,HHZ,True,True,manual,True,2
1,uw62037421,2024-08-18 01:34:16.079999924,UW.MULN..HHZ,UW,MULN,,HHZ,True,True,manual,True,2
2,uw62037421,2024-08-18 01:34:16.649999857,UW.SMSH..HNZ,UW,SMSH,,HNZ,True,True,manual,True,2
3,uw62037421,2024-08-18 01:34:16.830000162,UW.MBW2..HHZ,UW,MBW2,,HHZ,True,True,manual,True,2
4,uw62037421,2024-08-18 01:34:17.849999905,UW.PLBD..ENZ,UW,PLBD,,ENZ,True,True,manual,True,2
5,uw62037421,2024-08-18 01:34:17.920000076,UW.PUBD..ENZ,UW,PUBD,,ENZ,True,True,manual,True,2
6,uw62037421,2024-08-18 01:34:19.550000191,UW.SHUK..HHZ,UW,SHUK,,HHZ,True,True,manual,True,2
7,uw62037421,2024-08-18 01:34:21.190000057,CN.VDEB..HHZ,CN,VDEB,,HHZ,True,True,automatic,True,2
8,uw62037421,2024-08-18 01:34:35.710000038,UW.HDW..HHZ,UW,HDW,,HHZ,True,True,automatic,True,2
9,uw62037421,2024-08-18 01:34:29.500000000,UW.HTW..HHZ,UW,HTW,,HHZ,True,True,automatic,True,2
10,uw62037421,2024-08-18 01:34:22.329999924,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,automatic,True,2
11,uw62037421,2024-08-18 01:34:20.299999952,UW.PASS..HHZ,UW,PASS,,HHZ,True,True,automatic,True,2
12,uw62037421,2024-08-18 01:34:20.750000238,UW.RPW2..HHZ,UW,RPW2,,HHZ,True,True,automatic,True,2
13,uw62037421,2024-08-18 01:34:23.499089956,UW.MCW..ENZ,UW,MCW,,ENZ,False,False,automatic,True,1
14,uw62037421,2024-08-18 01:34:18.902029991,UW.MBKE..ENZ,UW,MBKE,,ENZ,False,False,automatic,True,1
15,uw62037421,2024-08-18 01:34:15.575766087,UW.SAXON..ENZ,UW,SAXON,,ENZ,False,False,automatic,True,1
16,uw62037421,2024-08-18 01:34:16.059390068,UW.MULN..ENZ,UW,MULN,,ENZ,False,False,automatic,True,1
17,uw62037421,2024-08-18 01:34:28.524219989,CN.HOPB..HHZ,CN,HOPB,,HHZ,False,False,automatic,True,1
18,uw62037421,2024-08-18 01:34:16.559002161,UW.MBW.01.EHZ,UW,MBW,01,EHZ,False,False,automatic,False,0
19,uw62037421,2024-08-18 01:34:20.149506092,UW.PASS..ENZ,UW,PASS,,ENZ,False,False,automatic,True,1
20,uw62037421,2024-08-18 01:34:23.499089956,UW.MCW..EHZ,UW,MCW,,EHZ,False,False,automatic,False,0
21,uw62037421,2024-08-18 01:34:20.781764030,UW.RPW2..ENZ,UW,RPW2,,ENZ,False,False,automatic,True,1
22,uw62037421,2024-08-18 01:34:16.733059168,UW.MBW2..ENZ,UW,MBW2,,ENZ,False,False,automatic,True,1
23,uw62037421,2024-08-18 01:34:19.165546894,UW.SHUK..ENZ,UW,SHUK,,ENZ,False,False,automatic,True,1
24,uw62037421,2024-08-18 01:34:22.139055014,UW.JCW..ENZ,UW,JCW,,ENZ,False,False,automatic,True,1
25,uw62018251,2024-06-24 09:36:51.849999905,UW.MULN..HHZ,UW,MULN,,HHZ,True,True,manual,True,2
26,uw62018251,2024-06-24 09:36:52.430000067,UW.SMSH..HNZ,UW,SMSH,,HNZ,True,True,manual,True,2
27,uw62018251,2024-06-24 09:36:52.569999933,UW.MBW2..HHZ,UW,MBW2,,HHZ,True,True,manual,True,2
28,uw62018251,2024-06-24 09:36:53.759999990,UW.PLBD..ENZ,UW,PLBD,,ENZ,True,True,manual,True,2
29,uw62018251,2024-06-24 09:36:55.289999962,UW.SHUK..HHZ,UW,SHUK,,HHZ,True,True,manual,True,2
30,uw62018251,2024-06-24 09:37:11.609999895,UW.HDW..HHZ,UW,HDW,,HHZ,True,True,manual,True,2
31,uw62018251,2024-06-24 09:37:05.059999943,CN.HOPB..HHZ,CN,HOPB,,HHZ,True,True,automatic,True,2
32,uw62018251,2024-06-24 09:36:57.000000000,CN.VDEB..HHZ,CN,VDEB,,HHZ,True,True,automatic,True,2
33,uw62018251,2024-06-24 09:37:05.489999771,UW.HTW..HHZ,UW,HTW,,HHZ,True,True,automatic,True,2
34,uw62018251,2024-06-24 09:36:58.099999905,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,automatic,True,2
35,uw62018251,2024-06-24 09:36:56.079999924,UW.PASS..HHZ,UW,PASS,,HHZ,True,True,automatic,True,2
36,uw62018251,2024-06-24 09:36:56.550000191,UW.RPW2..HHZ,UW,RPW2,,HHZ,True,True,automatic,True,2
37,uw62018251,2024-06-24 09:36:51.230000019,UW.SAXON..HHZ,UW,SAXON,,HHZ,True,True,automatic,True,2
38,uw62018251,2024-06-24 09:36:59.192725897,UW.MCW..ENZ,UW,MCW,,ENZ,False,False,automatic,False,0
39,uw62018251,2024-06-24 09:36:54.568779945,UW.MBKE..ENZ,UW,MBKE,,ENZ,False,False,automatic,True,1
40,uw62018251,2024-06-24 09:36:51.139962196,UW.SAXON..ENZ,UW,SAXON,,ENZ,False,False,automatic,True,1
41,uw62018251,2024-06-24 09:36:51.845914841,UW.MULN..ENZ,UW,MULN,,ENZ,False,False,automatic,True,1
42,uw62018251,2024-06-24 09:36:52.228155851,UW.MBW.01.EHZ,UW,MBW,01,EHZ,False,False,automatic,False,0
43,uw62018251,2024-06-24 09:36:55.828001976,UW.PASS..ENZ,UW,PASS,,ENZ,False,False,automatic,True,1
44,uw62018251,2024-06-24 09:36:59.192725897,UW.MCW..EHZ,UW,MCW,,EHZ,False,False,automatic,True,1
45,uw62018251,2024-06-24 09:36:56.699147940,UW.RPW2..ENZ,UW,RPW2,,ENZ,False,False,automatic,True,1
46,uw62018251,2024-06-24 09:36:52.401764154,UW.MBW2..ENZ,UW,MBW2,,ENZ,False,False,automatic,True,1
47,uw62018251,2024-06-24 09:36:53.733170033,UW.PUBD..ENZ,UW,PUBD,,ENZ,False,False,automatic,True,1
48,uw62018251,2024-06-24 09:36:54.956744909,UW.SHUK..ENZ,UW,SHUK,,ENZ,False,False,automatic,True,1
49,uw62018251,2024-06-24 09:36:58.036531925,UW.JCW..ENZ,UW,JCW,,ENZ,False,False,automatic,True,1
50,uw10783103,2010-02-03 22:54:25.259999990,UW.HDW..EHZ,UW,HDW,,EHZ,True,True,manual,True,2
51,uw10783103,2010-02-03 22:54:10.680000067,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,manual,True,2
52,uw10783103,2010-02-03 22:54:04.960000038,UW.RPW..EHZ,UW,RPW,,EHZ,True,True,manual,True,2
53,uw10783103,2010-02-03 22:54:16.849999905,UW.HTW..EHZ,UW,HTW,,EHZ,True,True,manual,True,2
54,uw10783103,2010-02-03 22:54:05.169999838,CN.VDB..EHZ,CN,VDB,,EHZ,True,True,manual,True,2
55,uw10783103,2010-02-03 22:54:05.129999875,UW.PASS..BHZ,UW,PASS,,BHZ,True,True,manual,True,2
56,uw10783103,2010-02-03 22:54:08.380000114,UW.CMW..EHZ,UW,CMW,,EHZ,True,True,manual,True,2
57,uw10783103,2010-02-03 22:54:02.039999962,UW.MBW..EHZ,UW,MBW,,EHZ,True,True,manual,True,2
58,uw10783103,2010-02-03 22:53:59.400000095,UW.SHUK..BHZ,UW,SHUK,,BHZ,True,True,manual,True,2
59,uw10783103,2010-02-03 22:54:04.853233814,UW.MBKE..ENZ,UW,MBKE,,ENZ,False,False,automatic,True,1
60,uw10783103,2010-02-03 22:54:07.390420914,CN.HOPB..HHZ,CN,HOPB,,HHZ,False,False,automatic,True,1
61,uw10783103,2010-02-03 22:54:12.917078972,UW.MCW..EHZ,UW,MCW,,EHZ,False,False,automatic,True,1
62,uw10809903,2010-10-31 21:28:08.249999762,UW.HDW..EHZ,UW,HDW,,EHZ,True,True,manual,True,2
63,uw10809903,2010-10-31 21:27:52.430000067,UW.CMW..EHZ,UW,CMW,,EHZ,True,True,manual,True,2
64,uw10809903,2010-10-31 21:27:54.030000210,UW.RPW..EHZ,UW,RPW,,EHZ,True,True,manual,True,2
65,uw10809903,2010-10-31 21:27:44.550000191,UW.MBKE..ENZ,UW,MBKE,,ENZ,True,True,manual,True,2
66,uw10809903,2010-10-31 21:27:46.969999790,UW.MBW..EHZ,UW,MBW,,EHZ,True,True,manual,True,2
67,uw10809903,2010-10-31 21:27:56.440000057,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,manual,True,2
68,uw10809903,2010-10-31 21:27:45.200000048,UW.PASS..BHZ,UW,PASS,,BHZ,True,True,manual,True,2
69,uw10809903,2010-10-31 21:28:03.630000114,UW.HTW..EHZ,UW,HTW,,EHZ,True,True,manual,True,2
70,uw10809903,2010-10-31 21:27:45.409999847,CN.VDB..EHZ,CN,VDB,,EHZ,True,True,manual,True,2
71,uw10809903,2010-10-31 21:27:52.849999905,UW.MCW..EHZ,UW,MCW,,EHZ,True,True,manual,True,2
72,uw10809903,2010-10-31 21:27:54.478138208,CN.HOPB..HHZ,CN,HOPB,,HHZ,False,False,automatic,True,1
73,uw10809903,2010-10-31 21:27:48.361455202,UW.SHUK..BHZ,UW,SHUK,,BHZ,False,False,automatic,False,0
74,uw10765593,2009-05-03 15:44:11.680000067,UW.HDW..EHZ,UW,HDW,,EHZ,True,True,manual,True,2
75,uw10765593,2009-05-03 15:43:56.079999924,UW.CMW..EHZ,UW,CMW,,EHZ,True,True,manual,True,2
76,uw10765593,2009-05-03 15:43:58.929999828,UW.RPW..EHZ,UW,RPW,,EHZ,True,True,manual,True,2
77,uw10765593,2009-05-03 15:43:51.400000095,UW.MBKE..ENZ,UW,MBKE,,ENZ,True,True,manual,True,2
78,uw10765593,2009-05-03 15:43:52.460000038,UW.MBW..EHZ,UW,MBW,,EHZ,True,True,manual,True,2
79,uw10765593,2009-05-03 15:44:00.449999809,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,manual,True,2
80,uw10765593,2009-05-03 15:43:52.680000067,UW.PASS..BHZ,UW,PASS,,BHZ,True,True,manual,True,2
81,uw10765593,2009-05-03 15:44:07.720000029,UW.HTW..EHZ,UW,HTW,,EHZ,True,True,manual,True,2
82,uw10765593,2009-05-03 15:43:52.950000048,CN.VDB..EHZ,CN,VDB,,EHZ,True,True,manual,False,0
83,uw10765593,2009-05-03 15:43:57.430000067,UW.MCW..EHZ,UW,MCW,,EHZ,True,True,manual,True,2
84,uw10765593,2009-05-03 15:44:01.682595015,CN.HOPB..HHZ,CN,HOPB,,HHZ,False,False,automatic,False,0
85,uw10780358,2009-09-12 21:27:03.940000057,UW.HDW..EHZ,UW,HDW,,EHZ,True,True,manual,True,2
86,uw10780358,2009-09-12 21:26:51.200000048,UW.JCW..EHZ,UW,JCW,,EHZ,True,True,manual,True,2
87,uw10780358,2009-09-12 21:26:50.720000029,UW.RPW..EHZ,UW,RPW,,EHZ,True,True,manual,True,2
88,uw10780358,2009-09-12 21:26:49.799999952,UW.MBKE..ENZ,UW,MBKE,,ENZ,True,True,manual,True,2
89,uw10780358,2009-09-12 21:26:58.339999914,UW.HTW..EHZ,UW,HTW,,EHZ,True,True,manual,True,2
90,uw10780358,2009-09-12 21:26:51.470000029,CN.VDB..EHZ,CN,VDB,,EHZ,True,True,manual,False,0
91,uw10780358,2009-09-12 21:26:50.900000095,UW.PASS..BHZ,UW,PASS,,BHZ,True,True,manual,True,2
92,uw10780358,2009-09-12 21:26:47.140000105,UW.CMW..EHZ,UW,CMW,,EHZ,True,True,manual,True,2
