net,sta,loc,chan,year,revstat,evid,rstat_ohe,file,pref_nslc
UW,MULN,,HHZ,2022,automatic,uw61869727,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61869727.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61868306,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61868306.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61848577,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61848577.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61859842,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61859842.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61834661,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61834661.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61861017,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61861017.tgz,True
UW,MULN,,HHZ,2022,automatic,uw61859577,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2022/uw61859577.tgz,True
UW,MULN,,HHZ,2025,automatic,uw62071251,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2025/uw62071251.tgz,True
UW,MULN,,HHZ,2025,automatic,uw62061782,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2025/uw62061782.tgz,True
UW,MULN,,HHZ,2025,automatic,uw62062282,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2025/uw62062282.tgz,True
UW,MULN,,HHZ,2025,automatic,uw62064867,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2025/uw62064867.tgz,True
UW,MULN,,HHZ,2024,automatic,uw61999162,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw61999162.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62059336,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62059336.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62030431,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62030431.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62040276,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62040276.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62049537,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62049537.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62057241,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62057241.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62030796,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62030796.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62016182,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62016182.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62035161,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62035161.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62036681,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62036681.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62017166,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62017166.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62066576,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62066576.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62030321,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62030321.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62022057,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62022057.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62033951,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62033951.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62011702,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62011702.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62023161,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62023161.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62048931,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62048931.tgz,True
UW,MULN,,HHZ,2024,automatic,uw61503063,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw61503063.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62020652,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62020652.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62017411,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62017411.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62053286,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62053286.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62016661,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62016661.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62044871,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62044871.tgz,True
UW,MULN,,HHZ,2024,automatic,uw62051272,-1,/Users/nates/Code/Mt_Baker_LF_Research/processed_data/template/single_station/UW.MULN..HHZ/automatic/2024/uw62051272.tgz,True
