,manual,post_mean,nmi,ari,ami,igh,mean
cct,0.45,0.4495000000000001,0.44400000000000006,0.44400000000000006,0.44400000000000006,0.4660000000000001,0.44400000000000006
uw10091478,165.0,165.0,165.0,165.0,165.0,165.0,165.0
uw10114458,215.0,215.0,215.0,215.0,215.0,215.0,215.0
uw10114538,212.0,212.0,212.0,212.0,212.0,212.0,212.0
uw10116623,5.0,5.0,5.0,5.0,5.0,5.0,5.0
uw10118373,193.0,193.0,193.0,193.0,193.0,193.0,193.0
uw10119608,5.0,5.0,5.0,5.0,5.0,5.0,5.0
uw10126378,191.0,191.0,191.0,191.0,191.0,191.0,191.0
uw10128793,243.0,243.0,243.0,243.0,243.0,243.0,243.0
uw10154728,232.0,232.0,232.0,232.0,232.0,232.0,232.0
uw10176573,159.0,159.0,159.0,159.0,159.0,159.0,159.0
uw10204348,221.0,221.0,221.0,221.0,221.0,221.0,221.0
uw10213323,271.0,271.0,271.0,271.0,271.0,271.0,271.0
uw10230653,175.0,175.0,175.0,175.0,175.0,175.0,175.0
uw10231363,241.0,241.0,241.0,241.0,241.0,241.0,241.0
uw10239653,139.0,139.0,139.0,139.0,139.0,139.0,139.0
uw10243683,197.0,197.0,197.0,197.0,197.0,197.0,197.0
uw10246703,0.0,0.0,3.0,3.0,3.0,10.0,3.0
uw10253158,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253223,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253273,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253333,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253368,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253563,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253633,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10253833,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10254838,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10257583,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10257663,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10257753,240.0,240.0,240.0,240.0,240.0,240.0,240.0
uw10257838,163.0,163.0,163.0,163.0,163.0,163.0,163.0
uw10257873,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10257948,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10257998,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258078,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258193,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258238,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258268,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258783,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258823,25.0,25.0,25.0,25.0,25.0,25.0,25.0
uw10258848,25.0,25.0,25.0,25.0,25.0,25.0,25.0
uw10258938,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10258978,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259038,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259063,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259113,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259168,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259343,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259413,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259483,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10259573,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10260113,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10261163,94.0,94.0,94.0,94.0,94.0,94.0,94.0
uw10262123,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10262208,180.0,180.0,180.0,180.0,180.0,180.0,180.0
uw10262313,94.0,94.0,94.0,94.0,94.0,94.0,94.0
uw10262833,143.0,143.0,143.0,143.0,143.0,143.0,143.0
uw10263978,44.0,44.0,44.0,44.0,44.0,44.0,44.0
uw10264228,44.0,44.0,44.0,44.0,44.0,44.0,44.0
uw10268273,167.0,167.0,167.0,167.0,167.0,167.0,167.0
uw10271493,245.0,245.0,245.0,245.0,245.0,245.0,245.0
uw10273783,205.0,205.0,205.0,205.0,205.0,205.0,205.0
uw10274388,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10276198,7.0,7.0,1.0,1.0,1.0,7.0,1.0
uw10276753,256.0,256.0,256.0,256.0,256.0,256.0,256.0
uw10278308,44.0,44.0,44.0,44.0,44.0,44.0,44.0
uw10279273,222.0,222.0,222.0,222.0,222.0,222.0,222.0
uw10279393,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10280743,147.0,147.0,147.0,147.0,147.0,147.0,147.0
uw10282168,46.0,46.0,46.0,46.0,46.0,46.0,46.0
uw10283833,14.0,14.0,14.0,14.0,14.0,14.0,14.0
uw10285328,32.0,32.0,32.0,32.0,32.0,32.0,32.0
uw10286903,32.0,32.0,32.0,32.0,32.0,32.0,32.0
uw10288923,266.0,266.0,266.0,266.0,266.0,266.0,266.0
uw10289983,202.0,202.0,202.0,202.0,202.0,202.0,202.0
uw10294463,272.0,272.0,135.0,135.0,135.0,272.0,135.0
uw10300058,0.0,0.0,3.0,3.0,3.0,10.0,3.0
uw10304248,185.0,185.0,185.0,185.0,185.0,185.0,185.0
uw10306618,198.0,198.0,198.0,198.0,198.0,198.0,198.0
uw10312133,179.0,179.0,179.0,179.0,179.0,179.0,179.0
uw10317398,251.0,251.0,251.0,251.0,251.0,251.0,251.0
