trace,count,score,cct_l,cct_u,metric
UW.MBW..EHZ,449,0.9615912517405139,0.5010000000000001,0.5050000000000001,nmi
UW.MBW..EHZ,449,0.8327665301900177,0.5010000000000001,0.5050000000000001,ari
UW.MBW..EHZ,449,0.8674659882023085,0.5010000000000001,0.5050000000000001,ami
UW.MBW..EHZ,449,0.9775641025641025,0.344,0.345,igh
UW.MBW..EHZ,449,0.8672244312791907,0.5010000000000001,0.5050000000000001,mean
UW.JCW..EHZ,415,0.9775064022401911,0.45600000000000007,0.4610000000000001,nmi
UW.JCW..EHZ,415,0.8964267120941063,0.45600000000000007,0.4610000000000001,ari
UW.JCW..EHZ,415,0.9326620781681596,0.45600000000000007,0.4610000000000001,ami
UW.JCW..EHZ,415,0.9896907216494846,0.344,0.348,igh
UW.JCW..EHZ,415,0.9320680646653172,0.4700000000000001,0.4700000000000001,mean
UW.RPW..EHZ,352,0.9787215737231683,0.5090000000000001,0.5150000000000001,nmi
UW.RPW..EHZ,352,0.9221421294318136,0.5090000000000001,0.5150000000000001,ari
UW.RPW..EHZ,352,0.9369785674325076,0.5090000000000001,0.5150000000000001,ami
UW.RPW..EHZ,352,1.0,0.344,0.367,igh
UW.RPW..EHZ,352,0.9415280781953956,0.5090000000000001,0.5150000000000001,mean
UW.MULN..ENZ,313,0.4816438970904176,0.344,0.344,nmi
UW.MULN..ENZ,313,0.24606886997872165,0.344,0.344,ari
UW.MULN..ENZ,313,0.2736461269877729,0.344,0.344,ami
UW.MULN..ENZ,313,0.6231343283582089,0.344,0.344,igh
UW.MULN..ENZ,313,0.4061233056037803,0.344,0.344,mean
UW.CMW..EHZ,298,0.9709367774795056,0.5260000000000001,0.5260000000000001,nmi
UW.CMW..EHZ,298,0.9035948352060218,0.5270000000000001,0.5370000000000001,ari
UW.CMW..EHZ,298,0.9190430869922009,0.5260000000000001,0.5260000000000001,ami
UW.CMW..EHZ,298,0.9812206572769953,0.344,0.369,igh
UW.CMW..EHZ,298,0.9325845568387635,0.5260000000000001,0.5260000000000001,mean
UW.PASS..HHZ,252,0.935746357452864,0.369,0.42200000000000004,nmi
UW.PASS..HHZ,252,0.9217127708734518,0.369,0.42200000000000004,ari
UW.PASS..HHZ,252,0.9234006163763797,0.369,0.42200000000000004,ami
UW.PASS..HHZ,252,0.9867256637168141,0.344,0.42200000000000004,igh
UW.PASS..HHZ,252,0.9418963521048774,0.369,0.42200000000000004,mean
UW.MBW2..ENZ,180,0.8380956725901704,0.392,0.42100000000000004,nmi
UW.MBW2..ENZ,180,0.8281465379647658,0.392,0.42100000000000004,ari
UW.MBW2..ENZ,180,0.8200593617713552,0.392,0.42100000000000004,ami
UW.MBW2..ENZ,180,1.0,0.344,0.42100000000000004,igh
UW.MBW2..ENZ,180,0.8715753930815728,0.392,0.42100000000000004,mean
UW.MCW..EHZ,162,0.9210550499989267,0.374,0.393,nmi
UW.MCW..EHZ,162,0.5544690214988593,0.344,0.358,ari
UW.MCW..EHZ,162,0.7065562004177339,0.344,0.358,ami
UW.MCW..EHZ,162,0.5428571428571428,0.344,0.358,igh
UW.MCW..EHZ,162,0.6809616567232603,0.344,0.358,mean
UW.HDW..EHZ,148,0.9718384356932255,0.4720000000000001,0.4760000000000001,nmi
UW.HDW..EHZ,148,0.8961294555762979,0.4720000000000001,0.4760000000000001,ari
UW.HDW..EHZ,148,0.9056862687390128,0.4720000000000001,0.4760000000000001,ami
UW.HDW..EHZ,148,0.989010989010989,0.344,0.374,igh
UW.HDW..EHZ,148,0.9104465070351011,0.4720000000000001,0.4760000000000001,mean
UW.HTW..EHZ,147,0.9577773345903607,0.396,0.42000000000000004,nmi
UW.HTW..EHZ,147,0.7650903367278238,0.344,0.349,ari
UW.HTW..EHZ,147,0.8321152569732492,0.344,0.349,ami
UW.HTW..EHZ,147,0.8089887640449438,0.392,0.395,igh
UW.HTW..EHZ,147,0.8228058100375466,0.396,0.42000000000000004,mean
UW.MBW.01.EHZ,124,0.995378370695134,0.5030000000000001,0.5450000000000002,nmi
UW.MBW.01.EHZ,124,0.9997241435590777,0.5030000000000001,0.5450000000000002,ari
UW.MBW.01.EHZ,124,0.9939258779797011,0.5030000000000001,0.5450000000000002,ami
UW.MBW.01.EHZ,124,1.0,0.344,0.4700000000000001,igh
UW.MBW.01.EHZ,124,0.9948061176663213,0.5030000000000001,0.5450000000000002,mean
